2020-06-29T21:20:40.066Z, 1593465640066, ea:39:da:f1:99:98, pr-3fe7, -57
2020-06-29T21:20:40.226Z, 1593465640226, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:40.383Z, 1593465640383, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:40.540Z, 1593465640540, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:40.700Z, 1593465640700, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:41.014Z, 1593465641014, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:20:41.166Z, 1593465641166, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:20:41.330Z, 1593465641330, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:41.484Z, 1593465641484, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:41.637Z, 1593465641637, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:20:41.792Z, 1593465641792, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:41.958Z, 1593465641958, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:42.116Z, 1593465642116, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:42.274Z, 1593465642274, ea:39:da:f1:99:98, pr-3fe7, -50
2020-06-29T21:20:42.475Z, 1593465642475, ea:39:da:f1:99:98, pr-3fe7, -51
2020-06-29T21:20:42.599Z, 1593465642599, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:42.758Z, 1593465642758, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:42.963Z, 1593465642963, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:43.052Z, 1593465643052, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:43.258Z, 1593465643258, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:43.399Z, 1593465643399, ea:39:da:f1:99:98, pr-3fe7, -57
2020-06-29T21:20:43.582Z, 1593465643582, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:43.769Z, 1593465643769, ea:39:da:f1:99:98, pr-3fe7, -52
