2020-06-29T20:48:42.483Z, 1593463722483, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:42.633Z, 1593463722633, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:42.946Z, 1593463722946, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:43.109Z, 1593463723109, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:43.399Z, 1593463723399, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:48:43.565Z, 1593463723565, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:43.722Z, 1593463723722, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:43.884Z, 1593463723884, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:44.051Z, 1593463724051, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:44.267Z, 1593463724267, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:44.417Z, 1593463724417, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:44.536Z, 1593463724536, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:44.683Z, 1593463724683, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:44.845Z, 1593463724845, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:45.023Z, 1593463725023, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:45.163Z, 1593463725163, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:45.324Z, 1593463725324, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:45.478Z, 1593463725478, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:46.134Z, 1593463726134, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:46.366Z, 1593463726366, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:46.520Z, 1593463726520, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:46.685Z, 1593463726685, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:46.758Z, 1593463726758, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:46.912Z, 1593463726912, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:47.210Z, 1593463727210, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:47.372Z, 1593463727372, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:47.534Z, 1593463727534, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:47.841Z, 1593463727841, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:48.174Z, 1593463728174, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:48.325Z, 1593463728325, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:48:48.482Z, 1593463728482, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:48.642Z, 1593463728642, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:49.105Z, 1593463729105, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:49.274Z, 1593463729274, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:49.438Z, 1593463729438, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:49.593Z, 1593463729593, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T20:48:49.749Z, 1593463729749, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:49.902Z, 1593463729902, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:50.061Z, 1593463730061, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:48:50.230Z, 1593463730230, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:48:50.391Z, 1593463730391, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:48:50.544Z, 1593463730544, ea:39:da:f1:99:98, pr-3fe7, -83
