2020-06-29T19:49:36.928Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:37.545Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:38.027Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:38.183Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:38.650Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:38.810Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:39.427Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:39.582Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:40.212Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:40.721Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:41.331Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:41.810Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:41.968Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:42.915Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:43.060Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:43.545Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:43.699Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:43.846Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:44.337Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:44.651Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:44.821Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:45.441Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:46.065Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:46.685Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:47.175Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:47.326Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:47.489Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:47.839Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:48.108Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:48.422Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:48.579Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:48.733Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:49.370Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:49.992Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:50.673Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:51.090Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:51.256Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:51.402Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:51.872Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:49:52.026Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:52.187Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:52.335Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:52.805Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:52.961Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:53.105Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:54.525Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:54.687Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:55.009Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:55.148Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:56.254Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:56.410Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:56.878Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:57.040Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:57.361Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:57.538Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
